course_title,platform,tags,level,rating,url
Precalculus: Periodic Functions,Coursera,periodic function  graphs  division by zero  euler's totient function  function of several real variables  measurement  equation solving  mathematical model  numbers (spreadsheet)  algebraic operation math-and-logic math-and-logic,Conversant,0.0,https://www.coursera.org/learn/precalculus-periodic-functions
Create a Coin Pick-Up and Spending Mechanics in Unity,Coursera,.properties  head-up display  project  Writing  rational doors  Leadership and Management  coins  virtual world  display devices  particle system computer-science software-development,Advanced,0.0,https://www.coursera.org/learn/create-coin-pick-up-spending-mechanics-unity
Position Elements on a Page with CSS,Coursera,surround sound  css flex box layout  display devices  CSS  menu bar  web page  .properties  web  html  internality computer-science mobile-and-web-development,Beginner,4.5,https://www.coursera.org/learn/position-elements-page-css
Cluster Analysis in Data Mining,Coursera,analysis  measurement  cluster analysis  data clustering algorithms  Data Mining  dbscan  Algorithms  Data Visualization  hierarchical clustering  Similarity Measure data-science data-analysis,Advanced,4.3,https://www.coursera.org/learn/cluster-analysis
N�tzliches Feedback geben (Giving Helpful Feedback),Coursera,verstehen  intuition  authority  gratitude  sales management  customer service  Sales Meetings  process  thought  nun business business-essentials,Intermediate,4.7,https://www.coursera.org/learn/feedback-de
Arts and Heritage Management,Coursera,Customer Relationship Management  brand loyalty  service management  Brand Identity  Marketing  art  market (economics)  Communication  brand  Leadership and Management business marketing,Beginner,4.8,https://www.coursera.org/learn/arts-heritage
Sales Training: Building Your Sales Career,Coursera,sales presentation  Inbound Sales  career  Strategy  Inside Sales  Sales Strategy  Sales  presentation  customer service training  Training business business-essentials,Advanced,4.7,https://www.coursera.org/learn/build-sales-career
Leveraging Mentions and Threads in Slack,Coursera,organizational communication  organizing (management)  technical support  workspace  Planning  project  Business Communication  utility  Communication  message business business-strategy,Beginner,4.9,https://www.coursera.org/learn/leveraging-mentions-and-thread-in-slack
Introduction to Physical Chemistry,Coursera,quantum number  energy level  hydrogen  augmented assignment  Geology  energy  chemistry  computational chemistry  Chemical Engineering  tailored access operations physical-science-and-engineering chemistry,Intermediate,4.6,https://www.coursera.org/learn/physical-chemistry
Survey Data Collection and Analytics Project (Capstone),Coursera,Simple Random Sample  exercise  respondent  Data Analysis  analysis  sampling statistics  Estimation  evaluation  Missing Data  SPSS life-sciences psychology,Advanced,4.0,https://www.coursera.org/learn/survey-data-capstone
Conflict Transformation,Coursera,arbitration  coaching  psychology  life coaching  narrative therapy  active listening  neuro-linguistic programming  psychology of self  conflict resolution  coaching psychology business business-essentials,Intermediate,4.8,https://www.coursera.org/learn/conflict-transformation
Evaluating the Quality of Healthcare Delivery,Coursera,patient  case mix  Healthcare Management  reputation  confusion  opinion  fear  methodology  evaluation  physician life-sciences healthcare-management,Intermediate,4.6,https://www.coursera.org/learn/quality-of-healthcare
Financial Accounting: Foundations,Coursera,financial statement  accrual  income  Financial Accounting  income statement  basis of accounting  Accounting  balance sheet  inventory  Finance business finance,Intermediate,4.7,https://www.coursera.org/learn/financial-accounting-basics
Build Data Analysis tools using R and DPLYR,Coursera,Matlab  Machine Learning  Summary Statistics  Data Analysis  Computer Programming  General Statistics  euler's totient function  analysis  R Programming  analytics data-science data-analysis,Advanced,4.5,https://www.coursera.org/learn/introduction-to-dplyr
Blockchain Transformations of Financial Services,Coursera,financial system  global financial system  double-entry bookkeeping system  stewardship  payment systems  Innovation  BlockChain  financial services  global  FinTech computer-science computer-security-and-networks,Beginner,4.6,https://www.coursera.org/learn/blockchain-transformations-financial-services
Science of Training Young Athletes Part 2,Coursera,sports  Training  heart rate  performance  ordered pair  Planning  adaptation  exercise  homeostasis  coaching personal-development personal-development,Intermediate,5.0,https://www.coursera.org/learn/science-of-training-young-athletes-part-2
Hybrid Cloud Multi-Cluster with Anthos,Coursera,repurchase agreement  workload  Cloud Computing  Operations Management  sources  certificate authority  root certificate  data clustering algorithms  Leadership and Management  service discovery information-technology cloud-computing,Conversant,4.8,https://www.coursera.org/learn/hybrid-cloud-multi-cluster-anthos
Digital Product Management: Modern Fundamentals,Coursera,lean startup  Leadership and Management  Product Management  Strategy  Product Strategy  minimum viable product  Planning  agile management  product planning  product/market fit business leadership-and-management,Beginner,4.7,https://www.coursera.org/learn/uva-darden-digital-product-management
"Abstraction, Problem Decomposition, and Functions",Coursera,euler's totient function  c programming  abstraction  decomposition  jpeg  Computer Programming  Problem Solving  lambda calculus  console applications  process computer-science software-development,Advanced,4.6,https://www.coursera.org/learn/abstraction-problem-decomposition-functions
Investments I: Fundamentals of Performance Evaluation,Coursera,performance appraisal  Strategy  investment strategy  modeling  Finance  valuation (finance)  investment  evaluation  stock  market (economics) business finance,Advanced,4.7,https://www.coursera.org/learn/investments-fundamentals
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",Coursera,Leadership and Management  Risk  Computer Security Incident Management  business continuity  risk assessment  incident management  incremental backup  security information and event management  differential backup  security information-technology security,Advanced,4.8,https://www.coursera.org/learn/incident-response-recovery-risks-sscp
Materials Science: 10 Things Every Engineer Should Know,Coursera,Mechanical Engineering  phase diagram  .properties  chemistry  materials management  material selection  Leadership and Management  materials  Metallurgy  Fracture Mechanics physical-science-and-engineering mechanical-engineering,Beginner,4.7,https://www.coursera.org/learn/materials-science
Water in the Western United States,Coursera,measurement  water scarcity  prior-appropriation water rights  riparian water rights  Water Planning  law  Civil Engineering  Water Conservation  Studentized Residual  Causality physical-science-and-engineering environmental-science-and-sustainability,Advanced,4.8,https://www.coursera.org/learn/water-united-states
Building AI Powered Chatbots Without Programming,Coursera,weak ai  Machine Learning  environment variable  wordpress  Computer Programming  word (computer architecture)  Python Programming  tree (data structure)  child  preview computer-science design-and-product,Beginner,4.7,https://www.coursera.org/learn/building-ai-powered-chatbots
Building AI Powered Chatbots Without Programming,Coursera,weak ai  Machine Learning  environment variable  wordpress  Computer Programming  word (computer architecture)  Python Programming  tree (data structure)  child  preview computer-science design-and-product,Beginner,4.7,https://www.coursera.org/learn/building-ai-powered-chatbots
Introduction to TCP/IP,Coursera,ip address  Wireshark  internet protocol  Network Security  internet  internet security  internet protocol suite  communications protocol  ipv4  security computer-science computer-security-and-networks,Beginner,4.6,https://www.coursera.org/learn/tcpip
Using probability distributions for real world problems in R,Coursera,probability  R Programming  Binomial Distribution  Chi-Squared Distribution  applied probability  Probability Distribution  Exponential Distribution  hypothesis testing  Studentized Residual  statistical inference data-science probability-and-statistics,Beginner,4.8,https://www.coursera.org/learn/probability-distributions-real-world-problems-r
Business English: Final Project,Coursera,presentation  project  cmos  chief executive officer  deliverable  utility  english language  Budget Analysis  budget  c-fos language-learning learning-english,Advanced,4.7,https://www.coursera.org/learn/english-for-business-project
Business Strategy in Practice (Project-centered Course),Coursera,Strategy  analysis  Business Development  strategic planning  Business  Business Strategy  international business strategy  Business Analysis  strategy implementation  analytics business business-strategy,Advanced,4.6,https://www.coursera.org/learn/uva-darden-business-strategy-capstone
"Time to Reorganize! Understand Organizations, Act, and Build a Meaningful World.",Coursera,process  sources  Average  interact  humanitarian  logic  Leadership and Management  competitiveness  performance  sociology social-sciences governance-and-society,Advanced,4.2,https://www.coursera.org/learn/orgology
On Premises Capacity Upgrade and Monitoring with Google Cloud's Apigee API Platform,Coursera,Apache Zookeeper  Computer Networking  Operations Management  node.js  Planning  cloud computing security  application programming interfaces  java management extensions  apache qpid  gratitude computer-science software-development,Conversant,4.7,https://www.coursera.org/learn/onprem-upgrade-apigee-gcp
Input and Interaction,Coursera,interfaces  Human Computer Interaction  preference  graphical user interface  input device  user interface  command-line interface  User Experience  jog dial  interaction design computer-science design-and-product,Advanced,4.6,https://www.coursera.org/learn/interaction-techniques
Get Interactive: Practical Teaching with Technology,Coursera,Collaboration  education  teaching  attention deficit hyperactivity disorder  Human Learning  podcast  interactivity  screencast  Online Machine Learning  online learning social-sciences education,Advanced,4.7,https://www.coursera.org/learn/getinmooc
Anomaly Detection in Time Series Data with Keras,Coursera,Machine Learning  Plotly  Tensorflow  Deep Learning  front and back ends  Anomaly Detection  Long Short-Term Memory  Keras  Time Series  interactive media data-science machine-learning,Beginner,3.9,https://www.coursera.org/learn/anomaly-detection-time-series-keras
Excel Basics for Data Analysis,Coursera,euler's totient function  Pivot Table  worksheet  reference data  data quality  Rowing  Data Analysis  Microsoft Excel  editing  spreadsheet data-science data-analysis,Advanced,4.7,https://www.coursera.org/learn/excel-basics-data-analysis-ibm
Core Concepts of Accounting � Numbers and People,Coursera,depreciation  fixed asset  cost allocation  break-even (economics)  Management Accounting  inventory  cost  Financial Accounting  break-even  Finance business finance,Advanced,4.8,https://www.coursera.org/learn/core-concepts-of-accounting
International Humanitarian Law in Theory and Practice,Coursera,law  Legal Research  humanitarian  demand  terrorism  child protection  international relations  military  war  international law social-sciences law,Beginner,4.8,https://www.coursera.org/learn/international-humanitarian-law
Presentations: Speaking so that People Listen,Coursera,nonverbal communication  public speaking  audience  speech  poster  presentation  english language  Language Learning  hooking  listening language-learning learning-english,Advanced,4.5,https://www.coursera.org/learn/presentations-speaking-so-that-people-listen
Create Infographics using Piktochart,Coursera,project  audience  infographics  Marketing  Accounting  ordered pair  Computer Graphics  Marketing Design  illustration  Communication business marketing,Beginner,4.4,https://www.coursera.org/learn/create-outstanding-infographics-using-piktochart
The Fundamentals of Computing Capstone Exam,Coursera,display devices  algorithm design  c programming  approximation error  Computer Programming  Computer Science  Theoretical Computer Science  .properties  Python Programming  Trigonometric Integral computer-science software-development,Advanced,4.9,https://www.coursera.org/learn/fundamentals-of-computing-capstone
Build CRUD REST API in Django,Coursera,serialization  project  project mine  django (web framework)  application programming interfaces  ordered pair  front and back ends  modeling  representational state transfer  directory structure computer-science software-development,Intermediate,5.0,https://www.coursera.org/learn/build-django-restful-api
Digitalisation in Aeronautics,Coursera,nastran  unmanned aerial vehicle  Traffic Simulation  Unmanned Aerial System  Industrial Automation Systems  iOS Development  Aerospace Engineering  unmanned vehicles  systems engineering  space station physical-science-and-engineering mechanical-engineering,Advanced,5.0,https://www.coursera.org/learn/aeronautics
"Social Services for Families, Seniors and Those with Disabilities",Coursera,health policy  adult  child  employment  safety  sex  master of social work  autism  social work  family social-sciences governance-and-society,Intermediate,4.8,https://www.coursera.org/learn/social-health-policy-programs
Art and Science of Machine Learning,Coursera,hyperparameter  Artificial Neural Networks  Human Learning  Google Cloud Platform  Estimator  Cloud Computing  Cloud Platforms  Machine Learning  Keras  Tensorflow data-science machine-learning,Advanced,4.6,https://www.coursera.org/learn/art-science-ml
Psychosocial and Spiritual Aspects of Palliative Care,Coursera,advance care planning  patient  family caregivers  grief  quality of life  coping with  spiritual distress  shared decision-making  family  psychosocial life-sciences patient-care,Intermediate,4.9,https://www.coursera.org/learn/psychosocial-spiritual-aspects-palliative-care
Analyze Box Office Data with Plotly and Python,Coursera,graphs  Data Analysis  Machine Learning  Plotly  Data Visualization  Interactive Data Visualization  Feature Engineering  Python Programming  tableau software  analysis data-science machine-learning,Beginner,4.5,https://www.coursera.org/learn/analyze-data-plotly-python
Combining and Analyzing Complex Data,Coursera,approximation error  modeling  Estimation  Surveying  estimation theory  combine  Stata  SPSS  sampling design  consent data-science data-analysis,Advanced,4.2,https://www.coursera.org/learn/data-collection-analytics-project
Peer-to-Peer Protocols and Local Area Networks,Coursera,Ethernet  wireless  data transmission  automatic repeat request  peer-to-peer  access control  random access  collision detection  data link control  high-level data link control computer-science computer-security-and-networks,Advanced,4.6,https://www.coursera.org/learn/peer-to-peer-protocols-local-area-networks
Advanced SQL Retrieval Queries in SQLiteStudio,Coursera,nested sql  SQL  web  euler's totient function  Databases  select (sql)  Writing  associative entity  relational database  sqlite information-technology data-management,Beginner,4.6,https://www.coursera.org/learn/Advanced-sql-retrieval-queries-in-sqlitestudio
Foundations for Assisting in Home Care,Coursera,personal care  patient  Home Care  Mental Illness  patients' rights  dieting  home  home directory  infant  child life-sciences patient-care,Beginner,4.6,https://www.coursera.org/learn/home-care
Corporate Finance Essentials,Coursera,Economics  Finance  investment  evaluation  Economic Value Added  cost  Risk  project  corporate bond  financial risk business finance,Beginner,4.8,https://www.coursera.org/learn/corporate-finance-essentials
Global Health at the Human-Animal-Ecosystem Interface,Coursera,disease  animal health  interfaces  public health  biodiversity  animal  ecohealth  global  emerging infectious disease  one health life-sciences public-health,Advanced,4.5,https://www.coursera.org/learn/global-health-human-animal-ecosystem
Software Development Processes and Methodologies,Coursera,waterfall model  modeling  software  scrum (software development)  methodology  process  Software Engineering  software development process  Software Testing  Agile Software Development computer-science software-development,Advanced,4.4,https://www.coursera.org/learn/software-processes
eHealth: More than just an electronic record,Coursera,Precision Medicine  evaluation  records management  E-Health  electronic health records  telehealth  electronic health record  medicine  ehealth  electronics life-sciences healthcare-management,Beginner,4.5,https://www.coursera.org/learn/ehealth
Symmetric Cryptography,Coursera,ruby on rails  cipher  symmetric-key algorithm  stream cipher  Cryptography  Permutations  feistel cipher  meet-in-the-middle attack  block cipher  Algorithms computer-science computer-security-and-networks,Advanced,4.5,https://www.coursera.org/learn/symmetric-crypto
Symmetric Cryptography,Coursera,ruby on rails  cipher  symmetric-key algorithm  stream cipher  Cryptography  Permutations  feistel cipher  meet-in-the-middle attack  block cipher  Algorithms computer-science computer-security-and-networks,Advanced,4.5,https://www.coursera.org/learn/symmetric-crypto
Using Descriptive Statistics to Analyze Data in R,Coursera,Statistical Dispersion  General Statistics  Standard Deviation  project  R Programming  jpeg  Microsoft Excel  Basic Descriptive Statistics  measurement  euler's totient function data-science data-analysis,Beginner,4.5,https://www.coursera.org/learn/descriptive-statistics-analyze-data-r
BIM Fundamentals for Engineers,Coursera,autodesk revit architecture  Construction Management  architecture  Project Management  modeling  Mechanical Engineering  Civil Engineering  software  Autodesk  building information modeling physical-science-and-engineering mechanical-engineering,Beginner,4.6,https://www.coursera.org/learn/bim-fundamentals
Organizational Behavior: How to Manage People,Coursera,motivation  organizational culture  leadership  team leader  thought  organizational behavior  Leadership and Management  Culture  People Management  behavior business leadership-and-management,Intermediate,4.7,https://www.coursera.org/learn/managing-people-iese
"""Making"" Progress Teach-Out",Coursera,education  circle time  Newspaper  family  hopefully  Comedy  closed community  constitution  Cancer  pride social-sciences governance-and-society,Beginner,4.2,https://www.coursera.org/learn/makingprogress
Job Success: Get Hired or Promoted in 3 Steps,Coursera,personal branding  unix shells  Human Resources  social media accounts  Social Media  elevator pitch  social media marketing  Recruitment  infographics  image resolution personal-development personal-development,Conversant,4.5,https://www.coursera.org/learn/get-hired
Intelligent Machining,Coursera,internet  Leadership and Management  CNC Machine  process management  process  Machine Learning  pl/c  manufacturing process management  internet of things  Manufacturing Processes physical-science-and-engineering mechanical-engineering,Beginner,4.6,https://www.coursera.org/learn/intelligent-machining
Global Diplomacy: the United Nations in the World,Coursera,Communication  Critical Thinking  Leadership and Management  international relations  global  analysis  law  humanitarian  Writing  international law social-sciences governance-and-society,Intermediate,4.7,https://www.coursera.org/learn/global-diplomacy-un
"Computer Science:  Algorithms, Theory, and Machines",Coursera,insertion sort  Algorithms  combinational logic  Computer Architecture  two's complement  architecture  binary search algorithm  lambda calculus  Theoretical Computer Science  string searching algorithm computer-science algorithms,Advanced,4.7,https://www.coursera.org/learn/cs-algorithms-theory-machines
How to Finance and Grow Your Startup � Without VC,Coursera,product/market fit  trading  Venture Capital  bookkeeping  Business  Leadership and Management  E-Commerce  Entrepreneurship  Finance  business plan business entrepreneurship,Advanced,4.6,https://www.coursera.org/learn/startup-financing-without-vc
Empowering Yourself in a Post-Truth World,Coursera,prejudice  belief  Communication  disinformation  confirmation bias  Social Media Platforms  social technology  Social Media  authority  online community personal-development personal-development,Intermediate,4.4,https://www.coursera.org/learn/empowering-yourself-post-truth-world
Avoid Overfitting Using Regularization in TensorFlow,Coursera,autocad  Keras  statistical classification  Tensorflow  Accuracy And Precision  iOS Development  Machine Learning  array data structure  project  Validation Set data-science machine-learning,Beginner,4.8,https://www.coursera.org/learn/tensorflow-regularization-avoid-overfitting
Physician/Student Opioid Use Disorder Medication Assisted Treatment Waiver Training,Coursera,physicians  physical examination  physician  methadone  medication  addiction  substance use disorder  buprenorphine  patient  drugs life-sciences healthcare-management,Beginner,4.3,https://www.coursera.org/learn/opioids
"Drugs, drug use, drug policy and health",Coursera,cannabinoids  health policy  drug policy reform  decriminalization  public health  drugs  harm reduction  essential medicines  drug policy  abstinence life-sciences public-health,Intermediate,4.7,https://www.coursera.org/learn/drugs
Cryptographic Hash and Integrity Protection,Coursera,authentication  Cryptography  hashing  data integrity  cipher  message authentication  block cipher  cryptographic hash function  merkle tree  hash chain computer-science computer-security-and-networks,Advanced,4.4,https://www.coursera.org/learn/cryptographic-hash-integrity-protection
Brand Identity and Strategy,Coursera,Brand Identity  Planning  brand  Advertising  Brand Design  Brand Management  logo  Marketing  logos  Strategy business marketing,Beginner,4.6,https://www.coursera.org/learn/brand-identity-strategy
Technical Support Fundamentals,Coursera,binary code  internet  Troubleshooting  PC Hardware  software  technical support  Networking Hardware  Operating Systems  Customer Support  Software Installation information-technology support-and-operations,Conversant,4.8,https://www.coursera.org/learn/technical-support-fundamentals
Understanding the Music Business: What is Music Worth?,Coursera,music  re-define  h.e.a.r.  publicity  Social Media  popular music  Planning  Payments  label  Audio Recording arts-and-humanities music-and-art,Advanced,4.5,https://www.coursera.org/learn/musicbiz
Gut Check: Exploring Your Microbiome,Coursera,microbiology  nutrition  metagenomics  probiotics  probiotic  biology  food allergy  allergy  microbiota  thought life-sciences basic-science,Intermediate,4.7,https://www.coursera.org/learn/microbiome
Managerial Accounting Fundamentals,Coursera,Management Accounting  cost benefit analysis  Finance  Profit Analysis  Financial Accounting  Accounting  Leadership and Management  contribution margin  cost allocation  cost business finance,Intermediate,4.8,https://www.coursera.org/learn/uva-darden-managerial-accounting
Data Visualization,Coursera,tableau software  Data Visualization Software  Computer Graphics  visualization software  Data Analysis  Data Visualization  software  Parallel Coordinates  graphs  analysis data-science data-analysis,Beginner,4.4,https://www.coursera.org/learn/datavisualization
FinTech Security and Regulation (RegTech),Coursera,cryptocurrency  Banking  open banking  financial crisis of 2007 08  financial services  financial markets  security technology  FinTech  Risk Management  financial crisis business finance,Intermediate,4.6,https://www.coursera.org/learn/regtech
Using Shiny to Plot Differential Gene Expression,Coursera,Cancer  interfaces  Data Analysis  euler's totient function  project  Student's t-Distribution  sorting  mathematical optimization  user interface  preview data-science data-analysis,Beginner,4.4,https://www.coursera.org/learn/shiny-to-plot-differential-gene-expression
Organizational Leadership Capstone,Coursera,Collaboration  leadership  Innovation  Leadership Development  Culture  Change Management  case study  Organizational Development  Planning  project management certification business leadership-and-management,Advanced,4.6,https://www.coursera.org/learn/leadership-capstone
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Coursera,mathematical optimization  Gradient  Tensorflow  Hyperparameter Optimization  Artificial Neural Networks  euler's totient function  Softmax Function  hyperparameter  Deep Learning  Human Learning data-science machine-learning,Beginner,4.9,https://www.coursera.org/learn/deep-neural-network
Essentials of Global Health,Coursera,adolescent health  health system  disease  public health  non-communicable disease  tropical diseases  Risk  infectious diseases  health economics  global life-sciences public-health,Beginner,4.8,https://www.coursera.org/learn/essentials-global-health
Entrepreneurship Capstone,Coursera,Entrepreneurship  marketing mix  Sales  Marketing  business plan  sales operations  Innovation  Planning  business model canvas  Sales Strategy business entrepreneurship,Beginner,4.6,https://www.coursera.org/learn/entrepreneurship-capstone
The Psychology of Thrill Seekers,Coursera,Social Psychology  personality test  psychologies  Emotional Intelligence  behavioral neuroscience  freezing  seeks  hearing  biological process  psychology life-sciences psychology,Intermediate,4.5,https://www.coursera.org/learn/psychology-of-thrill-seekers
MOOC: How to make a MOOC?,Coursera,Planning  evaluation  personality  educational materials  principle  augmented assignment  SPSS  externality  Video Production  Software Testing social-sciences education,Intermediate,4.3,https://www.coursera.org/learn/how-to-mooc
Managing Data Analysis,Coursera,inference  Data Analysis  Communication  General Statistics  interpretation  Exploratory Data Analysis  process  Leadership and Management  Data Management  analysis business leadership-and-management,Conversant,4.5,https://www.coursera.org/learn/managing-data-analysis
Statistical Inference,Coursera,analysis  probability  statistical inference  inference  hypothesis  confidence  statistical hypothesis testing  Confidence Interval  hypothesis testing  General Statistics data-science probability-and-statistics,Beginner,4.0,https://www.coursera.org/learn/statistical-inference
Songwriting: Writing the Lyrics,Coursera,guitar  acoustics  Video Editing  s-box  music  piano  euler's totient function  Writing  human voice  Poetry Writing arts-and-humanities music-and-art,Intermediate,4.8,https://www.coursera.org/learn/songwriting-lyrics
"Fundamentals of Management, with Goldman Sachs 10,000 Women",Coursera,employment  management consulting  Influencing  Marketing Management  Culture  Performance Management  organizational structure  restaurant management  Leadership and Management  performance business entrepreneurship,Beginner,4.8,https://www.coursera.org/learn/10k-women-8
"Sustainability of Social-Ecological Systems: the Nexus between Water, Energy and Food",Coursera,Energy Analysis  Land Use  agriculture  energy  sustainability  food science  ecological study  energy accounting  funds  desalination plants physical-science-and-engineering environmental-science-and-sustainability,Intermediate,4.5,https://www.coursera.org/learn/sustainability-social-ecological-systems
Handheld AR App Development with Unity,Coursera,physics  augmented reality  iOS Development  anchoring  display devices  relative change and difference  Virtual Reality  Android Development  interfaces  robotics computer-science mobile-and-web-development,Advanced,3.8,https://www.coursera.org/learn/handheld-ar
Introduction to Data Analytics,Coursera,analytics  Data Analysis  physics  Exploratory Data Analysis  business analytics  Python Programming  quality control  Data Science  SQL  Business Analysis data-science data-analysis,Advanced,4.7,https://www.coursera.org/learn/introduction-to-data-analytics
Marketing in an Analog World,Coursera,coloured book protocols  Booking  adult  Strategy  augmented reality  experience  Marketing  purchasing  icm registry  Digital Marketing business marketing,Intermediate,4.7,https://www.coursera.org/learn/marketing-analog
"Cannabis, Mental Health, and Brain Disorders",Coursera,eating disorder  schizophrenia  anxiety  anxiety disorders  risk factors  etiology  anxiety disorder  Risk Factor  mood disorder  disease life-sciences public-health,Beginner,4.8,https://www.coursera.org/learn/mentalhealth-cannabis-cbd-thc
Principal Component Analysis with NumPy,Coursera,General Statistics  Numpy  Scikit-Learn  Principal Component Analysis  Machine Learning  Statsmodels  Python Programming  Dimensionality Reduction  Exploratory Data Analysis  analysis data-science machine-learning,Beginner,4.6,https://www.coursera.org/learn/principal-component-analysis-numpy
Deep Neural Networks with PyTorch,Coursera,Deep Learning  Gradient  stochastic  Convolutional Neural Network  PyTorch  Python Programming  Artificial Neural Networks  Human Learning  gradient descent  Machine Learning data-science machine-learning,Beginner,4.3,https://www.coursera.org/learn/deep-neural-networks-with-pytorch
Code Free Data Science,Coursera,analytics  knime  download  decision tree  Machine Learning  Data Manipulation  Data Mining  data clustering algorithms  Microsoft Excel  modeling data-science machine-learning,Beginner,4.3,https://www.coursera.org/learn/code-free-data-science
Compose and Program Music in Python using Earsketch,Coursera,sound  Python Programming  music  user interface design  Machine Learning  language  interfaces  Computer Programming  euler's totient function  project computer-science algorithms,Beginner,4.4,https://www.coursera.org/learn/compose-program-music-in-python-using-earsketch
"Concepts in Python: Loops, Functions and Returns",Coursera,euler's totient function  control flow  Computer Programming  ordered pair  project  while loop  relative change and difference  return statement  nest  Python Programming computer-science software-development,Beginner,4.8,https://www.coursera.org/learn/python-loops-functions-returns
Cultural Competence - Aboriginal Sydney,Coursera,broken heart  history  dominant narrative  inner city  analysis  Culture  acceptance  Anthropology  dams  Art History arts-and-humanities history,Beginner,4.6,https://www.coursera.org/learn/cultural-competence-aboriginal-sydney
Capstone: Your Story,Coursera,evaluation  Storytelling  copywriting  Fiction Writing  Writing  grammar  first draft of a report on the edvac  criticism  creative writing  character sets arts-and-humanities music-and-art,Advanced,4.4,https://www.coursera.org/learn/story-writing-project
Six Sigma Advanced Improve and Control Phases,Coursera,six sigma  process  Control Chart  General Statistics  Trigonometric Integral  lean six sigma  lean manufacturing  Six Sigma Green Belt  process control  green belt business leadership-and-management,Advanced,4.7,https://www.coursera.org/learn/six-sigma-improve-control-Advanced
"Learn to Teach Java:  Sequences, Primitive Types and Using Objects",Coursera,teaching  Computer Programming  modulo operation  method (computer programming)  code segment  compiler  debugging  ordered pair  brainstorming  array data structure social-sciences education,Advanced,4.9,https://www.coursera.org/learn/teach-java-sequences-primitive-types-object
Computer Architecture,Coursera,Software Architecture  superscalar processor  Computer Architecture  multiprocessing  instruction set architectures  processor design  Microarchitecture  parallel computing  architecture  graphics processing units physical-science-and-engineering electrical-engineering,Advanced,4.7,https://www.coursera.org/learn/comparch
Basic Data Processing and Visualization,Coursera,software  jpeg  Outlier  Python Programming  Data Visualization  Numpy  predictive analytics  Big Data  python libraries  json data-science data-analysis,Advanced,4.2,https://www.coursera.org/learn/basic-data-processing-visualization-python
Create a Python Application using MySQL,Coursera,relational database  Python Programming  vpython  Computer Programming  SQL  object-oriented programming  project  mysql  Web Development  Databases computer-science software-development,Beginner,4.4,https://www.coursera.org/learn/create-python-application-mysql
Art & Activity: Interactive Strategies for Engaging with Art,Coursera,Art History  teaching  Experiential Learning  art  Strategy  history  methodology  photography  analysis  Creativity arts-and-humanities music-and-art,Advanced,4.7,https://www.coursera.org/learn/art-activity
International Hospitality & Healthcare Services Marketing,Coursera,global marketing  Marketing  Leadership and Management  variable pricing  patient experience  market (economics)  pricing  service innovation  hotel  Innovation business marketing,Beginner,4.7,https://www.coursera.org/learn/healthcare-marketing-hospitality-management
Refugees in the 21st Century,Coursera,law and management  human trafficking  justice  humanitarian  international law  child  social justice  political science  law  Immigration Law social-sciences governance-and-society,Beginner,4.8,https://www.coursera.org/learn/refugees-21st-century
Strategic Innovation: Building and Sustaining Innovative Organizations,Coursera,innovation management  Innovation  business model canvas  Business Strategy  marketing myopia  Strategy  modeling  value proposition  Leadership and Management  proposition business marketing,Advanced,4.8,https://www.coursera.org/learn/strategic-innovation-building-and-sustaining-innovative-organizations
Competitive Strategy,Coursera,competition (economics)  competitiveness  competitor analysis  Leadership and Management  Game Theory  analysis  strategic thinking  Business Strategy  Strategy  strategic management business business-strategy,Beginner,4.7,https://www.coursera.org/learn/competitive-strategy
Fixing Healthcare Delivery 2.0: Advanced Lean,Coursera,Process Mapping  lead time  human error  medical error  value stream mapping  Process Improvement  flow network  Patient Care  patient  health system life-sciences healthcare-management,Advanced,4.6,https://www.coursera.org/learn/fixing-healthcare-delivery-Advanced-lean
Building a Text-Based Bank in Java,Coursera,java (software platform)  software  euler's totient function  Java Programming  ordered pair  i-deas  arrays  eclipse  Computer Programming  for loop computer-science software-development,Beginner,4.5,https://www.coursera.org/learn/building-a-java-application-banking
Soul Beliefs: Causes and Consequences - Unit 3: How Does It All End?,Coursera,evolution  quoting out of context  thought  middle east  lecture  astronomy  psychologies  irreducible complexity  triune brain  psychology life-sciences psychology,Not Calibrated,4.3,https://www.coursera.org/learn/soulbeliefs3
Build a Persistent Storage App in Android Studio,Coursera,i-deas  radio button  android studio  text box  telephone number  persistence (computer science)  exit (system call)  persistence  Software Engineering  Android Development computer-science mobile-and-web-development,Beginner,4.4,https://www.coursera.org/learn/build-persistent-storage-app-android-studio
The Language and Tools of Financial Analysis,Coursera,analysis  ratio analysis  Finance  financial ratio  language  Financial Analysis  internal audit  financial statement  balance sheet  Accounting business finance,Conversant,4.6,https://www.coursera.org/learn/financial-analysis
UX Design Fundamentals,Coursera,Map  User Experience  user interface  experience design  site map  experience  paper prototyping  User Experience Design  java annotation  website wireframe arts-and-humanities music-and-art,Beginner,4.7,https://www.coursera.org/learn/ux-design-fundamentals
Tweet Emotion Recognition with TensorFlow,Coursera,mathematical optimization  Gradient  Artificial Neural Networks  natural language  Machine Learning  recurrent neural network  statistical classification  Tensorflow  Natural Language Processing  Deep Learning data-science machine-learning,Beginner,4.9,https://www.coursera.org/learn/tweet-emotion-tensorflow
